ID,Herbal Image,Herbal Name,Scientific Name,Symptoms,Preparation,Precautions,Botany
573,,Grass-Like Fimbry / Five-Angled Fimbry,Fimbristylis quinquangularis,"Traditionally used for fever, inflammation, digestive problems, wounds, and urinary discomfort (limited traditional use).","Whole plant or roots are prepared as a decoction, herbal tea, or traditional infusion.",Use with caution. Medicinal information is limited. Ensure proper plant identification and avoid harvesting from polluted areas. Consult a healthcare professional before prolonged medicinal use.,"Agor is a tufted, slender, glabrous, rather flaccid annual sedge, 40 to 60 centimeters in height. Leaves are basal, distichous, up to 40 centimeters long. Umbels are decompound, rather lax and diffuse, 6 to 10 centimeters long. The spikelets are small, globose, 2 to 2.5 millimeters long, pale or brown, mostly slenderly pedicelled, some sessile. Nuts are obovoid, straw-colored or ivory, 0.3 to 0.5 millimeter long."
574,,Green Aralia,Aralia nudicaulis,"Traditionally used for inflammation, cough, colds, digestive problems, joint pain, and general wellness support.","Roots and rhizomes are dried and prepared as a decoction, herbal tea, or traditional extract.","Use with caution. Ensure proper plant identification, as some Aralia species may cause adverse reactions. Avoid excessive use and consult a healthcare professional before prolonged medicinal use.","Osmoxylon lineare is an erect, low bushy, evergreen shrub that grows up to 10 feet tall with a similar spread. Root system is extensive, holding the plant securely to the soil. Stems are light gray, hairless, shining, somewhat scurfy at the tips. Upright branches are topped with clusters of glossy, deeply cut foliage. Leaves are hairless, appear palmately compound but are actually entire, with 4-6 narrow, linear segments, 8 inches long and 0.5 inch wide, arranged in a whorl at the top of the stem. Flowers are small, white, in terminal compound umbels. Flower blooms are followed by contrasting round black fruits. Fruits are ovoid, 5-ridged, 5-celled, 3 mm long, white when immature, gradually darkening to a dull black or purple."
575,,Great Malay Bean,Pongamia pinnata,"Traditionally used for skin diseases, wounds, inflammation, rheumatism, fever, and digestive problems.","Seeds, bark, leaves, or roots are prepared as oil, decoction, herbal extract, or crushed into a paste for external application.",Use with caution. Seeds and oils may be irritating or toxic if improperly prepared. Avoid internal use without proper guidance and consult a healthcare professional before medicinal use.,"A small, deciduous tree with gray bark and woolly shoots. Leaves imparipinnate, 10-25 x 8-12 cm, ovate-oblong. Leaflets 5-11, obtuse or acute, entire, woolly beneath, the terminal one smallest or sometimes aborted. Male flowers in slender catkins, small, green. Stamens 4-5, nearly sessile. Female flowers in pendulous spikes. Calyx hairy, adnate to the ovary. Petals none. Fruit a small, round nut, villous, seated on a 3-lobed bract."
576,,Green Butterfly Plant / Swallowtail,Christia vespertilionis,"Traditionally used for inflammation, fever, cough, wounds, skin irritation, and general wellness support (limited traditional use).","Leaves and stems are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Herbs, perennial, prostrate, 15-60 cm. Leaves often 3-foliolate, rarely 1-foliolate; petiole 8-10 mm, filiform, gray pi­lose; terminal leaflet blade mostly reniform, orbicular-triangu­lar, or obovate, 0.5-1.5 × 1-2 cm, abaxially pilose, adaxially glabrous, base broadly cuneate, apex truncate and slightly emar­ginate; lateral ones obovate, cordate, or nearly orbicular, 6-7 × ca. 5 mm, lateral veins 3-5 on each side of midvein. Racemes mostly terminal, 3-18 cm, 1-flowered at each node. Pedicel 2-3 mm. Calyx half-hyaline, initially ca. 2 mm, to 6-8 mm at fruiting, distinctly reticulate veined; lobes ca. as long as tube. Corolla bluish purple or roseate, 3-5 mm, slightly longer than calyx. Legume 4- or 5-jointed, wholly enclosed by calyx; arti­cles orbicular, ca. 2.5 mm in diam., glabrous."
578,,Green Cat's Eye,Ormosia monosperma,"Traditionally used for inflammation, wounds, skin conditions, fever, and digestive problems (limited traditional use).","Seeds, bark, or leaves may be prepared as a decoction, herbal infusion, or used externally in traditional remedies.",Use with caution. Seeds of some Ormosia species may contain toxic compounds. Avoid consuming seeds internally unless properly identified and professionally supervised.,"D. fumatus is a mid-canopy tropical forest tree, growing up to 35 m tall and 0.6 m dbh. Stipules are absent; leaves are alternate, compound, with leaflets pinnately-veined and usually glabrous, sometimes with toothed margins. Flowers are about 4 mm in diameter, white-yellowish, in panicles. Fruits are drupes which are 20–25 mm long, green-yellowish and slightly warty."
579,,Green Leaf Amentacea,Acalypha amentacea,"Traditionally used for wounds, skin irritation, inflammation, fever, and digestive problems (limited traditional use).","Leaves are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and avoid excessive internal use without professional guidance.,"Large shrubs, 2–5 m tall, monoecious; flowering branches 25–30 cm long, 2–5 mm diam. Indumentum glabrous to hairy, denser on young parts, with simple straight hairs. Stipules persistent, ovate to narrowly elliptic, 10–25 by 2–5 mm, midrib outside hairy and with capitate trichomes. Leaves: petiole 2–15 cm long, glabrous or with sparse straight hairs of 0.5–1 mm long; blade ovate to elliptic, 9–20 by 5–8 cm, length/width ratio 1–2.5, chartaceous, not variegated, green when fresh; base acute to weakly cordate"
580,,Green Milkweed Creeper,Oxystelma esculentum,"Traditionally used for inflammation, fever, cough, wounds, skin conditions, and digestive problems (limited traditional use).","Leaves, stems, or roots are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Some milkweed relatives contain latex compounds that may cause irritation or toxicity. Ensure proper plant identification and avoid internal use without professional guidance.,"Climbing herbs, stem glabrous. Leaves 6-10 x 3-5 cm, ovate, apex acute or acuminate, base rounded or subcordate, 5-ribbed, glabrous with a few small black glandular papillae at base, lateral nerves 3 pairs; petiole to 2.5 cm long. Racemes to 2.5 cm long. Flowers 8 mm across, many together; pedicels 1 cm long, slender, pubescent; sepals small, ovate to orbicular, ciliate; corolla greenish-yellow with brown dots, 4 mm long, lobes ovate; gynostegium 2 mm across, outer corona lobes orbicular, emarginate, membranous; inner corona similar to outer."
581,,Baby Rubber Plant,Peperomia obtusifolia,"Traditionally used for minor wounds, skin irritation, inflammation, and general wellness support (limited traditional use).","Leaves are crushed and applied externally as a paste or poultice. In some traditional practices, leaves may be prepared as an infusion.",Use with caution. Medicinal information is limited. Avoid excessive internal use and ensure proper plant identification before medicinal use.,"Peperomia obtusifolia is an evergreen, fleshy, erect, succulent herb growing up to 25 centimeters tall. Leaves are alternate, fleshy, spatulate-obovate, waxy green, up to 6 centimeters long, with a rounded or slightly notched apex and a tapering base with a short brown petiole. Spikes up to 15 centimeters long. Flowers are white, up to 12 centimeters long, growing in a shiny, winding manner."
582,,Grey Birch,Betula populifolia,"Traditionally used for wounds, skin conditions, inflammation, fever, urinary problems, and digestive discomfort.","Bark, leaves, or sap are prepared as a decoction, herbal tea, infusion, or used externally in traditional remedies.",Use with caution. People allergic to birch pollen or salicylates may experience reactions. Avoid excessive medicinal use and consult a healthcare professional before prolonged use.,"ree up to 17 m tall, 30 cm in d.b.h.; bark fulvous, nearly smooth; branchlets glabrous, with elevated lenticels. Leaf stipules linear-lanceolate, ca. 3 mm long, yellowish pubescent."
583,,Nicker Tree,Caesalpinia bonduc,"Traditionally used for fever, inflammation, joint pain, digestive problems, wounds, skin conditions, and urinary disorders.","Seeds, leaves, roots, or bark are prepared as a decoction, powder, herbal tea, or used externally as a paste.","Use with caution. Seeds contain strong bioactive compounds and may cause adverse effects if improperly prepared. Avoid excessive internal use and consult a healthcare professional before medicinal use, especially during pregnancy.","Kalumbibit is a prickly shrub or woody vine reaching a length of 10 meters or more. Leaves are bipinnate, often nearly 1 meter long, with the rachis armed with stout, sharp, recurved spines. Pinnae usually number about 10 pairs and are about 20 centimeters long with a pair of short, sharp spines at the point of attachment of each pair of leaflets. Leaflets also number about 10 pairs and are oblong, 2 to 5 centimeters long and somewhat hairy. Flowers are yellow, borne in axillary, simple or panicled racemes and about 1 centimeter long. Calyx is deeply cleft, the disk basal, the lobes imbricate, the lowest one larger than the others. Petals spreading, usually clawed, the uppermost smaller than the others. Stamens, 10, free, declinate, anthers versatile. Ovary few-ovuled. Fruits are pods, oblong 5 to 7 centimeters in length, inflated and covered with slender spines and contain one or two seeds. The seeds are large, somewhat rounded or ovoid, hairy, gray and shiny."
584,,Griffith's Ash / Philippine Ash,Fraxinus griffithii,"Traditionally used for inflammation, fever, wounds, skin conditions, digestive problems, and general wellness support (limited traditional use).","Bark, leaves, or roots are prepared as a decoction, herbal tea, or traditional extract.",Use with caution. Medicinal information is limited. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Trees 10-20 m, nearly evergreen. Branchlets pubescent, glabrescent; buds naked. Leaves 10-25 cm; petiole 3-8 cm; axis glabrous or puberulent; leaflets 5-7(-11); petiolule 5-10 mm; leaflet blade ovate to lanceolate, 2-10(-14) × 1-5 cm (basal pair usually smaller), leathery or thin leathery, adaxially glabrous, abaxially glandular dotted, base blunt to rounded, attenuate to petiolule, or oblique, margin entire, apex obliquely cuspidate to acuminate; primary veins 5 or 6(-10) on each side of midrib, obscure or rarely obvious. Panicles terminal, 10-25 cm, spreading, many flowered; bracts spatulate-linear, 3-10 mm, leafy, puberulent at first. Flowers bisexual, appearing after leaves. Pedicel slender, 2-4 mm. Calyx cupular, ca. 1 mm, puberulent or glabrous, subentire to broadly deltate toothed. Corolla white; lobes navicular, ca. 2 mm. Stamens ca. equal to corolla lobes. Samara broadly lanceolate-spatulate, 2.5-3 cm × 4-5 mm; wing decurrent to about middle of nutlet."
585,,Guava,Psidium guajava,"Traditionally used for diarrhea, dysentery, stomachache, cough, sore throat, wounds, skin infections, and inflammation.","Leaves are commonly prepared as a decoction or herbal tea. Fruits are eaten fresh, while crushed leaves may be applied externally to wounds and skin conditions.",Generally safe when used properly. Excessive intake of leaf preparations may cause digestive discomfort. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Bayabas is a somewhat hairy plant reaching a height of 8 meters. Young branches are 4-angled. Leaves are opposite, oblong to elliptic, and 5 to 1 centimeters long, the apex being pointed, and the base usually rounded. Peduncles are 1- to 3-flowered. Flowers are white, 3 to 3.5 centimeters across, with in-curved petals, coming out solitary or two to three in the leaf axils. Numerous stamens form the attractive part of the flower. Inferior ovaries develop into round or obovoid green fruits 4 to 9 centimeters long, turning yellow on ripening and have edible, aromatic, seedy pulp."
586,,Gurjun Oil Tree,Dipterocarpus turbinatus,"Traditionally used for wounds, skin conditions, inflammation, respiratory discomfort, and general wellness support.","Leaves are commonly prepared as a decoction or herbal tea. Fruits are eaten fresh, while crushed leaves may be applied externally to wounds and skin conditions.",Generally safe when used properly. Excessive intake of leaf preparations may cause digestive discomfort. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Dipterocarpus turbinatus is a lofty tree, growing 30 to 45 meters tall. Trunk is clean and cylindrical, about 2.5 m in diameter. Bark is about 3.5 cm thick, gray or dark brown, flaky, and shallowly fissured longitudinal. Branchlets are terete or occasionally flattened with marked lenticels, whitish and glabrous or sometimes covered with minute, stellate hairs, often pubescent just below the scars of stipules. Leaves simple, alternate, spiral; stipules ca. 5 cm long; petioles ca. 2.5-5 cm long, canescent to glabrous; lamina ca. 12-36 x 5.5-15 cm, ovate or ovate-lanceolate to elliptic or elliptic-oblong, rounded or slightly cordate to rarely cuneate at base, acute or acuminate at apex, sinuate crenate or entire, glabrous on both surfaces, glossy above, on drying slate brown; secondary nerves 10-20 pairs. Flowers 3-7 in axillary spikes, from the axils of fallen leaves, white or yellow with pink tinge, ca. 3-3.5 cm long; calyx tube ca. 1-1.3 cm long, campanulate or obconic, glabrous or pruinose; three shorter lobes ca. 2 mm long, ovate to rounded, two longer lobes ca. 1 cm long, linear-oblong, glabrous; petals ca. 2.5-3 cm long, linear, softly pubescent outside; stamens 30; filaments ca. 4 mm long, flattened; anthers ca. 5 mm long; connective produced into a 4 mm long bristle; Ovary tapering towards apex, densely pilose. Fruits globular or ovoid or ellipsoid, smooth with marked striations; ca. 3-3.8 cm long and 2-3 cm in diam. at belly, produced into a short stalk at base; wings ca. 11-17.5 x 2.5-3.5 cm long, linear-oblong to oblanceolate oblong, obtuse, pink, glabrous, more or less glaucous, strongly reticulate with 3 main nerves."
587,,Gurjun Oil Tree,Dipterocarpus turbinatus,"Traditionally used for wounds, skin diseases, inflammation, respiratory discomfort, and rheumatic pain.",Resin or oil collected from the tree is used in traditional remedies. Bark and leaves may also be prepared as a decoction or herbal extract.,Use with caution. Gurjun oil may cause skin irritation or allergic reactions. Avoid internal use without proper guidance and consult a healthcare professional before prolonged medicinal use.,"Dipterocarpus turbinatus is a lofty tree, growing 30 to 45 meters tall. Trunk is clean and cylindrical, about 2.5 m in diameter. Bark is about 3.5 cm thick, gray or dark brown, flaky, and shallowly fissured longitudinal. Branchlets are terete or occasionally flattened with marked lenticels, whitish and glabrous or sometimes covered with minute, stellate hairs, often pubescent just below the scars of stipules. Leaves simple, alternate, spiral; stipules ca. 5 cm long; petioles ca. 2.5-5 cm long, canescent to glabrous; lamina ca. 12-36 x 5.5-15 cm, ovate or ovate-lanceolate to elliptic or elliptic-oblong, rounded or slightly cordate to rarely cuneate at base, acute or acuminate at apex, sinuate crenate or entire, glabrous on both surfaces, glossy above, on drying slate brown; secondary nerves 10-20 pairs. Flowers 3-7 in axillary spikes, from the axils of fallen leaves, white or yellow with pink tinge, ca. 3-3.5 cm long; calyx tube ca. 1-1.3 cm long, campanulate or obconic, glabrous or pruinose; three shorter lobes ca. 2 mm long, ovate to rounded, two longer lobes ca. 1 cm long, linear-oblong, glabrous; petals ca. 2.5-3 cm long, linear, softly pubescent outside; stamens 30; filaments ca. 4 mm long, flattened; anthers ca. 5 mm long; connective produced into a 4 mm long bristle; Ovary tapering towards apex, densely pilose. Fruits globular or ovoid or ellipsoid, smooth with marked striations; ca. 3-3.8 cm long and 2-3 cm in diam. at belly, produced into a short stalk at base; wings ca. 11-17.5 x 2.5-3.5 cm long, linear-oblong to oblanceolate oblong, obtuse, pink, glabrous, more or less glaucous, strongly reticulate with 3 main nerves."
588,,Downy Clerodendrum,Clerodendrum tomentosum,"Traditionally used for inflammation, fever, cough, wounds, skin conditions, and digestive problems (limited traditional use).","Leaves, bark, or roots are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and avoid excessive internal use. Consult a healthcare professional before prolonged medicinal use.,"Growth form: A shrub or small tree up to 7.5 m tall and entirely covered with soft, often thick velvety, white hairs. Foliage: Stalked leaves are opposite; leaf blades are light green, mostly heart-shaped, and 7–29 by 5–21 cm, with short tips. Flowers: Flowers occur in clusters, at the branch tips; shoots up to 31 cm long and wide, bearing white, 1.3 cm-wide flowers. Fruits: Black fruits are round and 8–10 mm wide; seated on a fleshy, star-like, white, cup-like structure formed by the persistent calyx."
589,,Hairy Fleabane,Conyza bonariensis,"Traditionally used for wounds, inflammation, fever, cough, digestive problems, and skin conditions.","Leaves and whole plant are prepared as a decoction, herbal tea, or crushed into a paste for external application.","Use with caution. Ensure proper plant identification. May cause allergic reactions in sensitive individuals, especially those allergic to plants in the Asteraceae family. Consult a healthcare professional before prolonged medicinal use.","Tagabili is a stout, sometimes slender, erect, more or less hairy, branched annual 0.5 to 2 meters in height. Leaves are lanceolate to oblanceolate, 6 to 15 centimeters long, 1 to 4 centimeters wide, and coarsely toothed or sublobed in the margins. Panicles are terminal and ample, bearing numerous, peduncled, narrowly ovoid, flowering hears 6 to 7 millimeters long. Bracts are green. Flowers are many in each head, greenish-white."
590,,Hairy Knotweed,Persicaria pilosa,"Traditionally used for inflammation, fever, wounds, skin irritation, digestive problems, and urinary discomfort (limited traditional use).","Whole plant or leaves are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and avoid excessive internal use. Consult a healthcare professional before prolonged medicinal use.,"A robust hairy rhizomatous herb that grows up to 2 m in height, with branched stems. Stems creep from the base and root at the nodes, becoming hollow as they age. Leaves are simple and alternate, the ochrea cylindrical and up to about 4 cm long, the surface coarsely villous, and the apex having a fringe of bristles. Petiole is quite short, up to about 7 mm long; the blade is narrowly ovate, more-or-less falcate, with the base tapering evenly to the stem, while the tip is long and pointed; up to 25 cm long and 5 cm wide, pubescent, with prominent veins below."
591,,Hairy-Leafed Molave,Vitex pubescens,"Traditionally used for wounds, skin infections, inflammation, fever, cough, and digestive problems.","Leaves, bark, or roots are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Ensure proper plant identification and avoid excessive internal use due to limited safety information. Consult a healthcare professional before prolonged medicinal use.,"Molave is a tree that reaches a height of 8 to 15 meters, smooth or nearly so, with inflorescences that may be slightly hairy. Leaflets are three, stalked, ovate to lanceolate, 7 to 18 centimeters long, pointed at the tip, shining and quite smooth. Flowers are blue, numerous, 6 to 8 millimeters long, hairy outside the corolla, borne on terminal, paniculate and ample inflorescences, up to 20 centimeters in length. Fruit is rounded, 5 to 6 millimeters in diameter."
592,,Hairy Okra,Abelmoschus moschatus,"Traditionally used for digestive problems, inflammation, cough, fever, wounds, skin irritation, and general wellness support.","Seeds, leaves, roots, or flowers are prepared as a decoction, herbal tea, or traditional extract. Young pods may also be eaten as food.","Generally safe as food. Use caution with medicinal preparations, as safety information is limited. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.","Abelmoschus crinitus is an erect herb, up to 1.5 m tall with tuber-like taproot, aboveground parts often prickly pilose. Leaves orbicular or transversely elliptical in outline, 5-7-lobed, 10-15 cm × 7.5-12.5 cm, upper ones often smaller; petiole up to 18 cm long. Inflorescence consisting of solitary axillary flowers or partly racemose; epicalyx segments 10-16, linear, 2.5-5 cm long, persisting in fruit; flowers 10-12.5 cm in diameter, yellow with small purple center. Fruit an ovoid, hispid capsule, 3.5-5 cm long, with numerous seeds. (1)"
593,,Hanging Heliconia / False Bird of Paradise,Heliconia rostrata,"Traditionally used for wounds, inflammation, skin irritation, fever, and digestive discomfort (limited traditional use).","Leaves, flowers, or rhizomes are prepared as a decoction, herbal infusion, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and avoid excessive internal use. Consult a healthcare professional before prolonged medicinal use.,"Stout plants 3-5 m. tall; leaves broadly oblong, 45-150 cm. long, 15-40 cm. broad, broadly obtuse at the base; inflorescences pendulous, the peduncle stout, 30-90 cm. long, rather inconspicuously puberulent, the rachis flexuous; bracts very broadly ovate, obtuse to broadly acute at the tip, broadest and somewhat cordate slightly below the middle, obtusely narrowed to the base, 4-9 cm. long, 4-8 cm. broad, minutely puberulent, deep crimson, strongly reflexed at anthesis; perianth 3-4 cm. long, greenish-yellow; fruits broadly trigonal, 1 cm. long, purplish-blue"
594,,Harlequin Glory Bower,Clerodendrum thomsoniae,"Traditionally used for wounds, inflammation, skin irritation, fever, cough, and digestive problems (limited traditional use).","Leaves and flowers are prepared as a decoction, herbal infusion, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Some Clerodendrum species may cause adverse effects if misused. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Shrubs or small trees, 1.5–10 m tall. Branchlets lenticellate. Petiole 2–8 cm; leaf blade greenish abaxially and dark green adaxially, ovate-elliptic, triangular-ovate, or ovate, 5–16 × 2–13 cm, papery, base broadly cuneate, truncate, or rarely cordate, margin entire or rarely undulate, apex acuminate, veins 3–5 pairs. Inflorescences axillary or terminal, lax, corymbose cymes, dichotomous, 8–18 cm; peduncle 3–6 cm; bracts elliptic, deciduous. Flowers fragrant. Calyx greenish, becoming purple, deeply 5-lobed; lobes triangular-lanceolate to ovate, acute. Corolla white or pinkish, ca. 2 cm, tube slender; lobes oblong, 5–10 × 3–5 mm. Style shorter than stamens, both exserted. Drupes blue-purple, subglobose, ca. 6–8 mm in diam."
595,,Hard Fig,Ficus hispida,"Traditionally used for diarrhea, dysentery, stomachache, wounds, skin diseases, inflammation, fever, and digestive problems.","Fruits are eaten when properly prepared, while leaves, bark, or roots are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Ensure proper plant identification. Raw latex may cause skin irritation and digestive discomfort. Consult a healthcare professional before prolonged medicinal use.,"Ficus callosa is a tree growing 25-35 m tall; trunk straight, d.b.h. 25-35 cm. Bark gray to pale gray, hard. Branchlets wrinkled when dry. Stipules ovate-lanceolate, 1-1.8 cm, pubescent. Petiole 3-9 cm; leaf blade broadly elliptic, 15-30 by 8-20 cm, leathery, abaxially pale green but graying green when dry, adaxially green, glabrous, and shiny, base rounded to broadly cuneate, margin entire, apex obtuse or mucronate; secondary vein 8-11 on each side of the midvein, prominent on both surfaces. Figs axillary on normal leafy stem, paired or solitary, yellow when mature, pear-shaped-ellipsoid, 1.2-2.5 by 1-1.5 cm, pubescent but glabrescent, base attenuate into a 1 cm stalk, apical pore flat; peduncle 1-1.2 cm; involucral bracts lanceolate-ovate ca. 2 mm. Male, gall and female flowers within same fig. Male flowers: near apical pore or scattered, thickly pedicellate; calyx lobes 3-5, spatulate; stamen 1 or 2; filaments thin, if stamen 1 then filament absent. Gall flowers: similar to female flowers but stigma very short. Female flowers: calyx deeply 3-5 lobed, broadly lanceolate; style lateral; stigma deeply 2-branched. (Flora of China@efloras.org)"
596,,Alstonia scholaris,Alstonia scholaris,"Traditionally used for fever, malaria symptoms, cough, respiratory problems, diarrhea, digestive disorders, inflammation, and wounds.","Bark, leaves, or roots are prepared as a decoction, herbal tea, or traditional extract. Latex may be used externally in some traditional practices.",Use with caution. Ensure proper plant identification. Raw latex may cause skin irritation and digestive discomfort. Consult a healthcare professional before prolonged medicinal use.,"Alstonia spectabilis is a medium-sized to large tree up to 40 m tall, bole up to 90 cm in diameter, sometimes with small buttresses, outer bark brownish or dark brown, smooth scaly or longitudinally fissured, inner bark yellowish or straw-colored, without latex. Leaves in whorls of 3-4, linear to obovate, 3-32 cm × 1-12 cm, apex acute, obtuse or shortly abruptly acuminate with 10-30(-40) pairs of secondary veins, petiole (0-) 5-27 mm. Inflorescence usually in groups of 2-8, many-flowered. Pedicel 1-3 mm long, calyx subequal, pubescent outside, corolla pubescent outside. Follicles glabrous"
597,,Hardy Sugar Cane,Saccharum spontaneum,"Traditionally used for fever, urinary problems, inflammation, digestive discomfort, wounds, and general wellness support.","Roots, stems, or leaves are prepared as a decoction or herbal tea. Young shoots may also be used as food in some traditional practices.","Use with caution. Ensure proper plant identification, as wild grasses may be confused with other species. Avoid excessive medicinal use due to limited safety information and consult a healthcare professional before prolonged use.","Saccharum arundinaceum is a perennial, forming large clumps. Culms robust, (0.7–)1–6 m tall, 1–2 cm in diam., glabrous. Leaf sheaths glabrous or pubescent, ciliate at mouth and margins; leaf blades (60–)100–200 × 1–2 cm, abaxial surface glabrous, adaxial surface velvety with long soft hairs on broad lower midvein, margins serrate, base narrow, apex long attenuate; ligule 1–2 mm. Panicle (25–) 30–80 cm, much branched, axis glabrous; racemes 3–5.5 cm; rachis internodes 3–5 mm, pilose with long silky hairs. Spikelets 3–4 mm, straw-colored tinged purple upward; callus hairs ca. 1 mm, shorter than spikelet; lower glume thinly cartilaginous, back pilose with silky hairs twice length of spikelet, keels scabrid, apex acuminate; upper glume usually glabrous in sessile spikelet, rarely thinly pilose, clearly pilose in pedicelled spikelet; lower lemma subequal to glumes; upper lemma lanceolate, apex mucronate or with awn to 3 mm. Lodicules glabrous. Anthers 1.8–2 mm."
598,,Hauili Fig Tree / White Veined-Fig,Ficus septica,"Traditionally used for wounds, skin infections, inflammation, fever, stomachache, diarrhea, and digestive problems.","Leaves, bark, roots, or latex are prepared as a decoction, herbal infusion, or applied externally as a wash or paste for wounds and skin conditions.",Use with caution. The latex may cause skin irritation and digestive discomfort. Avoid internal use without proper preparation and professional guidance. Ensure correct plant identification before use.,"Hauili is an erect, small tree, growing 3 to 8 meters high, smooth, with more or less hairy young shoots. Leaves are smooth and shining, not all roughened, oblong-ovate to elliptic-ovate, 10 to 20 centimeters long, with tip tapering to a rather sharp point, and the base pointed. Receptacles are axillary, solitary, depressed-globose or turbinate, obscurely ridged or angled, 1.5 to 2 centimeters in diameter, and shortly peduncled."
599,,Heartleaf Hempvine,Mikania micrantha,"Traditionally used for wounds, skin infections, inflammation, fever, cough, and digestive problems (limited traditional use).","Leaves and stems are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and avoid excessive internal use. Consult a healthcare professional before prolonged medicinal use.,"Bikas is a smooth vine. Leaves are long-petioled, deltoid-ovoid or ovate heart-shaped, 4 to 10 centimeters long, with pointed tip, rounded, heart-shaped, or truncate base, and toothed margins. Heads are 4-flowered, cylindric, 6 to 9 millimeters long, borne in compound inflorescences. Achenes are smooth, glandular, linear-oblong, and 2.5 to 3 millimeters long. Pappus is composed of one series, whitish or salmon colored."
600,,Heart of Jesus,Caladium bicolor,"Traditionally used for skin irritation, inflammation, wounds, and swelling (limited traditional use).",Leaves are sometimes crushed and applied externally in traditional practices.,"Use with caution. All parts of Caladium bicolor contain calcium oxalate crystals that can cause burning, irritation, swelling, and toxicity if ingested. Avoid internal use and keep away from children and pets.","Corazon de Maria is a long-lived perennial herb arising from a fleshy, roundish, underground stem (corm). Leaves have an elongated stalk and a heart-shaped blade, 10 to 40 centimeters long, 6 to 30 centimeters wide, variously colored on the upper surface, green or blotched with red and white in various patch designs. Blade is mostly green, with scattered white spots and reddish veins. Fleshy flower cluster (spadix) is erect, shorter than the enclosing bract (spathe), about 10 centimeters long, tubular, constricted at the middle, green on the outer surface, white on the inner. Flowers are of one sex, without stalk and floral envelope (perianth); males are crowded on the upper part of the cluster, the females on the lower. Fruit is a berry, many seeded."
601,,Heavenly Elixir,Murraya paniculata,"Traditionally used for fever, cough, inflammation, digestive problems, toothache, and skin conditions (limited traditional use).","Leaves, bark, or roots are prepared as a decoction, herbal tea, or crushed into a paste for external application.",Use with caution. Medicinal information is limited. Ensure proper plant identification and consult a healthcare professional before prolonged medicinal use.,"Makabuhay is a climbing, dioecious vine reaching a height of 4 to 10 meters. Stems are up to 1 centimeter thick and somewhat fleshy, with scattered protuberances. Leaves are thin, ovate, 6 to 12 centimeters long, and 7 to 12 centimeters wide, with pointed and truncate or somewhat heart-shaped based, smooth and shining. Petioles are 3.5 to 6 centimeters long. Racemes are solitary or in pairs arising from axils of fallen leaves, pale green, slender, 10 to 20 centimeters long. Flowers are pale green and short pedicelled. Fruit is 8 millimeters long, in long clusters."
602,,Common Milk Hedge,Euphorbia neriifolia,"Traditionally used for cough, asthma, wounds, skin conditions, inflammation, digestive problems, and joint pain in traditional medicine.","Latex, leaves, or stems are prepared in traditional remedies, often after processing. Latex may be applied externally in some practices.",Use with extreme caution. The milky latex can cause severe skin and eye irritation and may be toxic if ingested. Avoid internal use without expert supervision and keep away from children and pets.,"Soro-soro is an erect, shrubby, branched, fleshy, cactus-like plant growing to 2 to 4 meters. Trunk and older branches are grayish and cylindric; medium branches slightly twisted and stout, fleshy, 4- or 5-angled or winged, the younger ones usually 3-winged, the wings lobulate, with a pair of stout, sharp, 2- to 4-millimeter long spines rising from the thickened bases of each leaf or petiole-scar. Leaves, arising from the sides of wings towards the end of the branches, are fleshy, oblong-obovate, 5 to 15 centimeters long; in young plants, longer pointed or blunt at the tip. Cymes are short, solitary in the sinuses, and usually of 3 involucres. Involucres are green or pale yellow, about 6 millimeters in diameter, with the lobes fimbriate."
